from_station,to_station,weekday_fare,weekend_fare,total_time,stations
AIIMS,NRSN,54,54,1:01:12,21
AIIMS,NSET,43,43,0:46:19,13
AIIMS,NSFT,43,43,0:42:03,11
AIIMS,NSHP,43,43,0:45:46,14
AIIMS,NSST,43,43,0:44:02,12
AIIMS,NUEE,32,32,0:23:48,7
AIIMS,NV,43,43,0:37:34,13
AIIMS,NWD,54,54,1:05:27,17
AIIMS,OFDB,54,54,1:06:14,21
AIIMS,OKBS,43,43,0:46:44,15
AIIMS,OKNS,32,32,0:27:25,9
AIIMS,OVA,43,43,0:34:20,12
AIIMS,PAGI,54,54,0:54:18,17
AIIMS,PALM,43,43,0:36:39,11
AIIMS,PBGA,43,43,0:47:12,13
AIIMS,PBGH,43,43,0:37:10,14
AIIMS,PBGW,43,43,0:39:52,12
AIIMS,PH1,63,63,0:40:44,13
AIIMS,PN,43,43,0:30:22,13
AIIMS,PRA,43,43,0:38:56,15
AIIMS,PSPK,21,21,0:17:33,4
AIIMS,PTCK,32,32,0:12:18,7
AIIMS,PTMD,32,32,0:27:02,9
AIIMS,PTP,54,54,0:59:41,16
AIIMS,PTVR,43,43,0:39:49,14
AIIMS,PVE,43,43,0:50:52,15
AIIMS,PVW,54,54,0:52:31,16
AIIMS,QM,32,32,0:12:36,6
AIIMS,RCK,32,32,0:14:34,8
AIIMS,RDPK,54,54,1:03:13,22
AIIMS,RG,43,43,0:35:01,10
AIIMS,RHE,54,54,1:01:20,17
AIIMS,RHW,54,54,1:03:25,18
AIIMS,RI,54,54,1:05:24,19
AIIMS,RISE,54,54,0:45:48,22
AIIMS,RJBH,54,54,0:53:30,21
AIIMS,RJNM,54,54,0:55:30,22
AIIMS,RKAM,32,32,0:22:01,9
AIIMS,RKPM,21,21,0:18:45,5
AIIMS,RN,43,43,0:47:00,11
AIIMS,RP,32,32,0:28:24,12
AIIMS,S53,63,63,0:45:06,15
AIIMS,S55,63,63,0:49:13,17
AIIMS,SABR,43,43,0:32:41,10
AIIMS,SAKP,43,43,0:43:08,13
AIIMS,SAKT,32,32,0:09:51,5
AIIMS,SFNN,54,54,1:01:52,20
AIIMS,SFTN,54,54,0:57:27,18
AIIMS,SHD,43,43,0:43:05,16
AIIMS,SHDN,54,54,0:51:20,20
AIIMS,SHPK,43,43,0:36:27,13
AIIMS,SHT,43,43,0:41:23,16
AIIMS,SHVP,43,43,0:47:18,13
AIIMS,SJSU,53,53,0:29:46,10
AIIMS,SKRP,63,63,0:28:32,12
AIIMS,SKVR,32,32,0:26:26,8
AIIMS,SLAP,43,43,0:38:54,14
AIIMS,SLTP,32,32,0:18:01,8
AIIMS,SMBG,43,43,0:49:09,19
AIIMS,SMPK,54,54,0:57:27,23
AIIMS,SMSM,54,54,0:57:43,19
AIIMS,SN,43,43,0:49:02,12
AIIMS,SNVH,,,,
AIIMS,SOEN,21,21,0:14:07,3
AIIMS,SOJI,11,11,0:13:49,3
AIIMS,SP,43,43,0:32:38,14
AIIMS,SPBI,54,54,0:47:52,23
AIIMS,SRAI,43,43,0:54:38,16
AIIMS,SRSM,43,43,0:41:38,16
AIIMS,SSON,54,54,0:59:56,19
AIIMS,SSTN,54,54,1:04:02,21
AIIMS,STFN,54,54,0:55:18,17
AIIMS,STTA,54,54,1:01:36,19
AIIMS,STVR,43,43,0:44:23,12
AIIMS,SUL,63,63,0:43:04,14
AIIMS,SVMB,21,21,0:18:38,5
AIIMS,SVVR,54,54,0:57:27,20
AIIMS,TG,43,43,0:47:12,11
AIIMS,TKBR,64,64,1:15:05,27
AIIMS,TKDS,43,43,0:49:40,14
AIIMS,TKLM,64,64,1:12:55,26
AIIMS,TKPR,43,43,1:00:28,20
AIIMS,TN,43,43,0:50:57,13
AIIMS,TZI,43,43,0:35:21,13
AIIMS,UDB,21,21,0:08:39,5
AIIMS,UNE,54,54,1:01:27,15
AIIMS,UNRG,54,54,0:56:12,18
AIIMS,UNW,54,54,1:03:25,16
AIIMS,VASI,43,43,0:48:21,18
AIIMS,VENT,43,43,0:58:16,19
AIIMS,VNNR,43,43,0:55:56,18
AIIMS,VNPR,32,32,0:19:48,5
AIIMS,VS,43,43,0:27:46,14
AIIMS,VTVR,32,32,0:23:39,7
AIIMS,VW,43,43,0:29:58,15
AIIMS,WC,43,43,0:40:53,15
AIIMS,YB,43,43,0:31:50,11
AIIMS,YMVR,,,,
AIT,AJG,41,41,0:24:02,7
AIT,APMN,84,84,1:32:07,32
AIT,APOT,138,138,1:30:42,28
AIT,ASDM,74,74,1:25:50,24
AIT,ATHA,84,84,1:48:36,40
AIT,AVIT,84,84,1:31:29,31
AIT,AZU,84,84,1:23:52,33
AIT,BACH,84,84,1:48:22,34
AIT,BAPB,74,74,1:29:41,26
AIT,BCGN,84,84,1:27:54,27
AIT,BEL,35,35,0:12:10,7
AIT,BIMR,84,84,1:30:17,36
AIT,BJPU,,,,
AIT,BKCP,63,63,1:03:26,19
AIT,BKMR,84,84,1:41:44,31
AIT,BRKR,74,74,1:08:46,24
AIT,BURI,,,,
AIT,BUSS,84,84,2:07:01,44
AIT,BVHM,84,84,1:57:22,37
AIT,CDLI,63,63,0:57:24,16
AIT,CHK,74,74,1:08:19,26
AIT,CHTP,52,52,0:31:59,10
AIT,CIPK,84,84,2:09:49,45
AIT,CL,74,74,1:12:56,28
AIT,CTST,74,74,0:57:47,21
AIT,CWBR,74,74,1:06:06,25
AIT,DACY,128,128,1:27:10,27
AIT,DBMR,84,84,1:21:46,24
AIT,DDSC,74,74,1:08:35,21
AIT,DKV,117,117,1:22:09,26
AIT,DL2,20,20,0:10:39,6
AIT,DL3,35,35,0:17:42,10
AIT,DLIC,74,74,1:13:30,22
AIT,DLIG,74,74,1:11:10,25
AIT,DM,84,84,1:45:21,29
AIT,DNBT,84,84,2:03:45,33
AIT,DSE,84,84,1:56:15,34
AIT,DSET,149,149,1:41:47,30
AIT,DSFN,84,84,1:50:14,31
AIT,DSG,84,84,1:36:28,34
AIT,DSHP,74,74,1:16:46,23
AIT,DSN,159,159,1:43:45,31
AIT,DST,159,159,1:45:50,32
AIT,DSTN,84,84,1:52:10,32
AIT,DSTO,138,138,1:33:46,29
AIT,DSW,84,84,1:54:12,33
AIT,DW,84,84,1:47:49,30
AIT,EANR,84,84,1:35:42,31
AIT,ECMJ,84,84,1:50:42,35
AIT,ESIH,84,84,1:24:21,26
AIT,GAT,35,35,0:14:02,8
AIT,GDPI,74,74,1:15:05,20
AIT,GE,31,31,0:20:44,6
AIT,GEC,84,84,1:35:30,28
AIT,GHEM,84,84,1:57:44,40
AIT,GKEI,63,63,0:59:12,17
AIT,GKPR,84,84,1:40:46,33
AIT,GNPK,63,63,0:45:09,15
AIT,GTBR,84,84,1:19:23,31
AIT,GTNI,52,52,0:27:16,8
AIT,HCC,41,41,0:25:50,8
AIT,HDNR,84,84,1:50:55,41
AIT,HKS,63,63,0:42:34,14
AIT,HNOK,74,74,1:17:42,21
AIT,IDPT,74,74,1:16:17,25
AIT,IFOC,41,41,0:23:32,7
AIT,IGDA,74,74,1:07:24,20
AIT,IICC,149,149,1:35:50,30
AIT,IIT,63,63,0:54:37,15
AIT,ILOK,84,84,1:30:54,32
AIT,INA,63,63,0:49:13,17
AIT,IPE,84,84,1:40:26,32
AIT,ITO,74,74,1:09:12,24
AIT,IWNR,74,74,1:07:17,21
AIT,JAMD,74,74,1:13:29,26
AIT,JANR,74,74,1:09:43,22
AIT,JB,63,63,0:51:26,18
AIT,JFRB,84,84,1:36:23,31
AIT,JGPA,74,74,1:11:53,20
AIT,JGPI,84,84,1:28:07,35
AIT,JIEE,84,84,1:43:02,34
AIT,JLA,74,74,1:19:55,22
AIT,JLA8,74,74,1:17:04,24
AIT,JLML,84,84,1:34:35,33
AIT,JLNS,74,74,1:13:53,21
AIT,JNPH,74,74,1:04:09,22
AIT,JPE,84,84,1:38:43,26
AIT,JPVE,,,,
AIT,JPW,84,84,1:26:46,25
AIT,JRMJ,,,,
AIT,JW,74,74,1:11:33,25
AIT,KB,74,74,1:13:45,26
AIT,KE,84,84,1:45:14,30
AIT,KG,74,74,1:10:35,27
AIT,KHCY,74,74,1:17:16,21
AIT,KHNA,84,84,1:43:19,32
AIT,KIKJ,74,74,1:22:04,25
AIT,KJKS,,,,
AIT,KJMD,63,63,1:03:11,19
AIT,KKDA,84,84,1:29:14,30
AIT,KKDC,84,84,1:41:32,31
AIT,KM,74,74,1:06:21,22
AIT,KN,84,84,1:32:57,33
AIT,KNR,84,84,1:21:58,30
AIT,KP,84,84,1:34:36,34
AIT,KPEN,84,84,1:38:46,26
AIT,KSHI,84,84,1:33:28,32
AIT,LJPN,74,74,1:04:18,19
AIT,LKM,74,74,0:53:43,19
AIT,LLQA,74,74,1:15:03,27
AIT,LN,74,74,1:22:02,27
AIT,MAL,35,35,0:15:43,9
AIT,MAPR,84,84,1:36:34,29
AIT,MDHS,74,74,1:07:29,23
AIT,MDTW,84,84,1:21:39,32
AIT,METE,74,74,1:24:18,24
AIT,MGRO,31,31,0:21:05,6
AIT,MIAA,84,84,1:55:06,39
AIT,MIEE,84,84,2:04:35,43
AIT,MIRK,63,63,0:58:40,17
AIT,MKPR,84,84,1:37:42,34
AIT,MLCD,74,74,1:11:17,20
AIT,MMJR,84,84,1:37:18,29
AIT,MN,84,84,1:36:35,27
AIT,MNGM,84,84,1:47:05,39
AIT,MPK,84,84,1:32:34,32
AIT,MUDK,84,84,1:52:44,38
AIT,MUPR,84,84,1:38:40,32
AIT,MVE,74,74,1:25:10,24
AIT,MVNR,63,63,0:39:54,13
AIT,MVP1,74,74,1:17:55,23
AIT,MVPO,74,74,1:19:33,24
AIT,MYPI,74,74,1:19:32,24
AIT,NAGR,84,84,1:27:12,25
AIT,NAVR,74,74,1:16:32,23
AIT,NBAA,84,84,1:52:39,42
AIT,NCAJ,84,84,1:46:12,33
AIT,NCBC,84,84,1:53:52,36
AIT,NCC,84,84,1:37:38,29
AIT,NDI,74,74,1:04:24,24
AIT,NECC,84,84,1:50:42,35
AIT,NFGH,84,84,1:59:09,32
AIT,NHPC,84,84,1:35:23,28
AIT,NIZM,74,74,1:13:02,22
AIT,NNGI,84,84,1:55:05,31
AIT,NNOI,84,84,1:46:54,35
AIT,NP,74,74,1:15:06,20
AIT,NRSN,84,84,1:48:36,36
AIT,NSET,84,84,1:35:08,28
AIT,NSFT,84,84,1:29:27,26
AIT,NSHP,84,84,1:33:10,29
AIT,NSST,84,84,1:31:26,27
AIT,NUEE,63,63,1:01:32,18
AIT,NV,84,84,1:24:58,28
AIT,NWD,84,84,1:43:11,28
AIT,OFDB,84,84,1:43:58,32
AIT,OKBS,74,74,1:24:28,26
AIT,OKNS,74,74,1:05:09,20
AIT,OVA,74,74,1:12:04,23
AIT,PAGI,84,84,1:41:42,32
AIT,PALM,74,74,1:14:23,22
AIT,PBGA,84,84,1:34:36,28
AIT,PBGH,74,74,1:24:34,29
AIT,PBGW,84,84,1:27:16,27
AIT,PH1,20,20,0:06:40,4
AIT,PN,74,74,1:17:46,28
AIT,PRA,84,84,1:26:20,30
AIT,PSPK,63,63,0:55:17,15
AIT,PTCK,74,74,0:59:42,22
AIT,PTMD,74,74,1:14:26,24
AIT,PTP,84,84,1:47:05,31
AIT,PTVR,84,84,1:27:13,29
AIT,PVE,84,84,1:38:16,30
AIT,PVW,84,84,1:39:55,31
AIT,QM,52,52,0:34:48,11
AIT,RCK,74,74,1:01:58,23
AIT,RDPK,84,84,1:50:37,37
AIT,RG,84,84,1:22:25,25
AIT,RHE,84,84,1:48:44,32
AIT,RHW,84,84,1:50:49,33
AIT,RI,84,84,1:52:48,34
AIT,RISE,84,84,1:33:12,37
AIT,RJBH,84,84,1:40:54,36
AIT,RJNM,84,84,1:42:54,37
AIT,RKAM,74,74,1:09:25,24
AIT,RKPM,63,63,0:56:29,16
AIT,RN,84,84,1:34:24,26
AIT,RP,74,74,1:15:48,27
AIT,S53,20,20,0:02:18,2
AIT,S55,20,20,0:01:49,2
AIT,SABR,74,74,1:10:25,21
AIT,SAKP,84,84,1:30:32,28
AIT,SAKT,63,63,0:37:33,12
AIT,SFNN,84,84,1:46:13,33
AIT,SFTN,84,84,1:41:48,31
AIT,SHD,84,84,1:30:29,31
AIT,SHDN,84,84,1:38:44,35
AIT,SHPK,74,74,1:23:51,28
AIT,SHT,84,84,1:28:47,31
AIT,SHVP,84,84,1:34:42,28
AIT,SJSU,95,95,1:17:10,25
AIT,SKRP,31,31,0:08:52,5
AIT,SKVR,74,74,1:04:10,19
AIT,SLAP,84,84,1:26:18,29
AIT,SLTP,52,52,0:29:23,9
AIT,SMBG,84,84,1:36:33,34
AIT,SMPK,84,84,1:44:51,38
AIT,SMSM,84,84,1:45:07,34
AIT,SN,84,84,1:36:26,27
AIT,SNVH,,,,
AIT,SOEN,63,63,1:01:31,18
AIT,SOJI,63,63,1:01:13,18
AIT,SP,74,74,1:20:02,29
AIT,SPBI,84,84,1:35:16,38
AIT,SRAI,74,74,1:32:22,27
AIT,SRSM,84,84,1:29:02,31
AIT,SSON,84,84,1:44:17,32
AIT,SSTN,84,84,1:48:23,34
AIT,STFN,84,84,1:39:39,30
AIT,STTA,84,84,1:39:20,30
AIT,STVR,74,74,1:22:07,23
AIT,SUL,20,20,0:04:20,3
AIT,SVMB,74,74,1:06:02,20
AIT,SVVR,84,84,1:44:51,35
AIT,TG,84,84,1:34:36,26
AIT,TKBR,84,84,2:02:29,42
AIT,TKDS,74,74,1:27:24,25
AIT,TKLM,84,84,2:00:19,41
AIT,TKPR,84,84,1:47:52,35
AIT,TN,84,84,1:40:44,27
AIT,TZI,74,74,1:22:45,28
AIT,UDB,74,74,0:56:03,20
AIT,UNE,84,84,1:39:11,26
AIT,UNRG,84,84,1:43:36,33
AIT,UNW,84,84,1:41:09,27
AIT,VASI,84,84,1:35:45,33
AIT,VENT,84,84,1:45:40,34
AIT,VNNR,84,84,1:43:20,33
AIT,VNPR,74,74,1:07:12,20
AIT,VS,74,74,1:15:10,29
AIT,VTVR,63,63,1:01:23,18
AIT,VW,84,84,1:17:22,30
AIT,WC,84,84,1:28:17,30
AIT,YB,74,74,1:19:14,26
AIT,YMVR,,,,
AJG,APMN,64,64,1:08:05,26
AJG,APOT,118,118,1:06:40,22
AJG,ASDM,54,54,1:01:48,18
AJG,ATHA,64,64,1:24:34,34
AJG,AVIT,64,64,1:07:27,25
AJG,AZU,64,64,0:59:50,27
AJG,BACH,64,64,1:24:20,28
AJG,BAPB,54,54,1:05:39,20
AJG,BCGN,54,54,1:03:52,21
AJG,BEL,41,41,0:18:28,5
AJG,BIMR,64,64,1:06:15,30
AJG,BJPU,,,,
AJG,BKCP,43,43,0:39:24,13
AJG,BKMR,64,64,1:17:42,25
