from_station,to_station,weekday_fare,weekend_fare,total_time,stations
AHNR,MNGM,54,54,0:52:00,20
AHNR,MPK,43,43,0:37:29,13
AHNR,MUDK,43,43,0:48:47,17
AHNR,MUPR,43,43,0:43:35,13
AHNR,MVE,54,54,0:50:34,19
AHNR,MVNR,54,54,0:46:11,22
AHNR,MVP1,54,54,0:48:19,18
AHNR,MVPO,54,54,0:54:57,19
AHNR,MYPI,43,43,0:31:03,9
AHNR,NAGR,54,54,0:52:36,20
AHNR,NAVR,43,43,0:34:03,10
AHNR,NBAA,54,54,0:57:34,23
AHNR,NCAJ,64,64,1:25:25,36
AHNR,NCBC,64,64,1:33:05,39
AHNR,NCC,54,54,1:06:05,26
AHNR,NDI,32,32,0:21:41,11
AHNR,NECC,64,64,1:19:09,32
AHNR,NFGH,54,54,1:10:27,20
AHNR,NHPC,64,64,1:14:36,31
AHNR,NIZM,54,54,0:58:12,19
AHNR,NNGI,54,54,1:06:23,19
AHNR,NNOI,43,43,0:42:57,14
AHNR,NP,54,54,0:50:29,21
AHNR,NRSN,43,43,0:44:39,15
AHNR,NSET,54,54,0:59:07,23
AHNR,NSFT,54,54,0:54:51,21
AHNR,NSHP,21,21,0:17:25,4
AHNR,NSST,54,54,0:56:50,22
AHNR,NUEE,54,54,1:04:03,23
AHNR,NV,43,43,1:00:38,17
AHNR,NWD,43,43,0:54:29,16
AHNR,OFDB,64,64,1:23:11,35
AHNR,OKBS,54,54,1:09:47,25
AHNR,OKNS,54,54,1:04:22,23
AHNR,OVA,54,54,1:11:17,26
AHNR,PAGI,43,43,0:37:45,11
AHNR,PALM,43,43,1:10:27,16
AHNR,PBGA,32,32,0:30:39,7
AHNR,PBGH,32,32,0:29:29,10
AHNR,PBGW,32,32,0:23:19,6
AHNR,PH1,84,84,1:19:25,31
AHNR,PN,43,43,1:00:59,12
AHNR,PRA,32,32,0:37:59,9
AHNR,PSPK,54,54,0:56:14,22
AHNR,PTCK,43,43,0:26:23,13
AHNR,PTMD,43,43,0:37:49,14
AHNR,PTP,32,32,0:31:20,6
AHNR,PTVR,43,43,0:58:23,16
AHNR,PVE,32,32,0:34:19,9
AHNR,PVW,32,32,0:35:58,10
AHNR,QM,54,54,0:51:17,24
AHNR,RCK,43,43,0:24:07,12
AHNR,RDPK,43,43,0:46:40,16
AHNR,RG,32,32,0:28:10,8
AHNR,RHE,32,32,0:32:59,7
AHNR,RHW,32,32,0:35:04,8
AHNR,RI,32,32,0:37:03,9
AHNR,RISE,21,21,0:07:07,4
AHNR,RJBH,43,43,0:45:49,17
AHNR,RJNM,54,54,0:47:49,18
AHNR,RKAM,43,43,0:31:34,13
AHNR,RKPM,54,54,0:57:26,23
AHNR,RN,32,32,0:40:09,9
AHNR,RP,43,43,1:02:57,13
AHNR,S53,84,84,1:23:47,33
AHNR,S55,84,84,1:27:54,35
AHNR,SABR,54,54,1:14:25,17
AHNR,SAKP,32,32,0:20:03,5
AHNR,SAKT,54,54,0:48:32,23
AHNR,SFNN,64,64,1:14:40,30
AHNR,SFTN,64,64,1:10:15,28
AHNR,SHD,43,43,0:35:24,12
AHNR,SHDN,43,43,0:43:39,16
AHNR,SHPK,32,32,0:28:46,9
AHNR,SHT,32,32,0:35:32,8
AHNR,SHVP,32,32,0:30:45,7
AHNR,SJSU,53,53,0:34:27,12
AHNR,SKRP,84,84,1:07:13,30
AHNR,SKVR,54,54,1:20:40,19
AHNR,SLAP,43,43,0:31:13,10
AHNR,SLTP,54,54,0:56:42,26
AHNR,SMBG,21,21,0:14:54,3
AHNR,SMPK,54,54,0:49:46,19
AHNR,SMSM,43,43,0:41:10,13
AHNR,SN,43,43,0:42:11,10
AHNR,SNVH,,,,
AHNR,SOEN,43,43,0:49:10,19
AHNR,SOJI,43,43,0:48:52,19
AHNR,SP,43,43,0:58:43,11
AHNR,SPBI,32,32,0:09:11,5
AHNR,SRAI,64,64,1:11:35,30
AHNR,SRSM,32,32,0:49:43,9
AHNR,SSON,64,64,1:12:44,29
AHNR,SSTN,64,64,1:16:50,31
AHNR,STFN,54,54,1:08:06,27
AHNR,STTA,64,64,1:18:33,33
AHNR,STVR,54,54,1:01:20,26
AHNR,SUL,84,84,1:21:45,32
AHNR,SVMB,43,43,0:44:33,13
AHNR,SVVR,43,43,0:49:46,16
AHNR,TG,32,32,0:40:21,9
AHNR,TKBR,54,54,0:58:32,21
AHNR,TKDS,64,64,1:06:37,28
AHNR,TKLM,54,54,0:56:22,20
AHNR,TKPR,54,54,1:00:00,20
AHNR,TN,43,43,0:44:06,11
AHNR,TZI,32,32,0:27:40,9
AHNR,UDB,43,43,0:30:02,15
AHNR,UNE,43,43,0:50:29,14
AHNR,UNRG,43,43,0:39:39,12
AHNR,UNW,43,43,0:52:27,15
AHNR,VASI,54,54,0:57:53,18
AHNR,VENT,54,54,0:57:48,19
AHNR,VNNR,54,54,0:55:28,18
AHNR,VNPR,54,54,0:51:54,19
AHNR,VS,32,32,0:10:55,6
AHNR,VTVR,54,54,1:23:27,20
AHNR,VW,32,32,0:08:43,5
AHNR,WC,43,43,0:33:12,11
AHNR,YB,43,43,0:42:37,16
AHNR,YMVR,,,,
AHRM,AIIMS,32,32,0:22:47,6
AHRM,AIT,74,74,1:10:11,21
AHRM,AJG,43,43,0:46:09,15
AHRM,APMN,54,54,1:00:55,18
AHRM,APOT,107,107,0:59:30,14
AHRM,ASDM,32,32,0:15:39,4
AHRM,ATHA,54,54,1:16:55,23
AHRM,AVIT,43,43,0:35:41,10
AHRM,AZU,54,54,0:52:40,19
AHRM,BACH,54,54,0:54:28,22
AHRM,BAPB,43,43,0:35:47,14
AHRM,BCGN,43,43,0:25:46,9
AHRM,BEL,74,74,1:04:37,19
AHRM,BIMR,54,54,0:59:05,22
AHRM,BJPU,,,,
AHRM,BKCP,32,32,0:15:11,7
AHRM,BKMR,54,54,0:47:50,19
AHRM,BRKR,32,32,0:27:19,9
AHRM,BURI,,,,
AHRM,BUSS,64,64,1:18:46,32
AHRM,BVHM,54,54,1:03:28,25
AHRM,CDLI,32,32,0:35:04,10
AHRM,CHK,43,43,0:37:07,12
AHRM,CHTP,43,43,0:38:12,12
AHRM,CIPK,64,64,1:21:34,33
AHRM,CL,43,43,0:41:44,14
AHRM,CTST,32,32,0:21:35,7
AHRM,CWBR,43,43,0:34:54,11
AHRM,DACY,97,97,0:55:58,13
AHRM,DBMR,54,54,1:06:49,18
AHRM,DDSC,32,32,0:20:20,9
AHRM,DKV,86,86,0:50:57,12
AHRM,DL2,74,74,1:03:06,18
AHRM,DL3,74,74,1:10:09,22
AHRM,DLIC,43,43,0:25:15,10
AHRM,DLIG,43,43,0:33:52,10
AHRM,DM,54,54,1:02:39,22
AHRM,DNBT,64,64,1:21:03,26
AHRM,DSE,128,128,1:16:38,19
AHRM,DSET,118,118,1:10:35,16
AHRM,DSFN,64,64,1:07:32,24
AHRM,DSG,54,54,1:04:47,17
AHRM,DSHP,54,54,1:01:49,17
AHRM,DSN,128,128,1:12:33,17
AHRM,DST,128,128,1:14:38,18
AHRM,DSTN,139,139,1:20:43,21
AHRM,DSTO,107,107,1:02:34,15
AHRM,DSW,139,139,1:18:41,20
AHRM,DW,54,54,1:05:07,23
AHRM,EANR,43,43,0:49:11,12
AHRM,ECMJ,54,54,0:56:48,23
AHRM,ESIH,43,43,0:36:06,14
AHRM,GAT,74,74,1:06:29,20
AHRM,GDPI,32,32,0:21:11,8
AHRM,GE,54,54,0:49:27,16
AHRM,GEC,43,43,0:28:22,10
AHRM,GHEM,64,64,1:09:29,28
AHRM,GKEI,32,32,0:33:16,9
AHRM,GKPR,54,54,0:59:05,16
AHRM,GNPK,32,32,0:25:02,7
AHRM,GTBR,43,43,0:48:11,17
AHRM,GTNI,43,43,0:42:55,14
AHRM,HCC,54,54,0:58:17,20
AHRM,HDNR,54,54,1:19:14,24
AHRM,HKS,32,32,0:27:37,8
AHRM,HNOK,32,32,0:23:48,9
AHRM,IDPT,32,32,0:21:23,6
AHRM,IFOC,54,54,0:55:59,19
AHRM,IGDA,43,43,0:52:27,14
AHRM,IICC,118,118,1:04:38,16
AHRM,IIT,32,32,0:39:40,9
AHRM,ILOK,54,54,0:59:42,18
AHRM,INA,32,32,0:10:58,5
AHRM,IPE,43,43,0:44:38,11
AHRM,ITO,43,43,0:31:54,9
AHRM,IWNR,32,32,0:33:23,9
AHRM,JAMD,43,43,0:36:11,11
AHRM,JANR,32,32,0:35:49,10
AHRM,JB,32,32,0:23:11,6
AHRM,JFRB,43,43,0:54:42,14
AHRM,JGPA,21,21,0:13:28,4
AHRM,JGPI,54,54,0:56:55,21
AHRM,JIEE,54,54,1:01:21,17
AHRM,JLA,32,32,0:26:01,10
AHRM,JLA8,43,43,0:43:10,12
AHRM,JLML,54,54,1:02:54,16
AHRM,JLNS,21,21,0:15:28,5
AHRM,JNPH,32,32,0:22:57,8
AHRM,JPE,54,54,0:52:07,17
AHRM,JPVE,,,,
AHRM,JPW,54,54,0:54:04,18
AHRM,JRMJ,,,,
AHRM,JW,43,43,0:40:21,11
AHRM,KB,43,43,0:42:33,12
AHRM,KE,54,54,0:56:59,18
AHRM,KG,43,43,0:39:23,13
AHRM,KHCY,21,21,0:15:12,5
AHRM,KHNA,43,43,0:47:31,11
AHRM,KIKJ,43,43,0:36:36,11
AHRM,KJKS,,,,
AHRM,KJMD,32,32,0:19:17,7
AHRM,KKDA,43,43,0:33:26,9
AHRM,KKDC,43,43,0:45:44,10
AHRM,KM,32,32,0:18:01,6
AHRM,KN,54,54,1:01:45,19
AHRM,KNR,43,43,0:50:46,16
AHRM,KP,54,54,1:03:24,20
AHRM,KPEN,54,54,1:16:04,19
AHRM,KSHI,43,43,0:37:40,11
AHRM,LJPN,21,21,0:05:53,3
AHRM,LKM,32,32,0:25:28,7
AHRM,LLQA,43,43,0:37:45,12
AHRM,LN,32,32,0:26:14,6
AHRM,MAL,74,74,1:08:10,21
AHRM,MAPR,54,54,0:48:19,17
AHRM,MDHS,43,43,0:25:11,8
AHRM,MDTW,43,43,0:50:27,18
AHRM,METE,43,43,0:30:24,12
AHRM,MGRO,54,54,0:53:32,18
AHRM,MIAA,64,64,1:06:51,27
AHRM,MIEE,64,64,1:16:20,31
AHRM,MIRK,43,43,0:43:43,11
AHRM,MKPR,54,54,1:06:30,20
AHRM,MLCD,21,21,0:12:52,4
AHRM,MMJR,43,43,0:43:24,17
AHRM,MN,43,43,0:52:49,17
AHRM,MNGM,54,54,1:15:24,22
AHRM,MPK,54,54,1:00:53,15
AHRM,MUDK,64,64,1:04:29,26
AHRM,MUPR,54,54,0:56:59,15
AHRM,MVE,32,32,0:14:59,4
AHRM,MVNR,32,32,0:30:17,9
AHRM,MVP1,32,32,0:07:44,3
AHRM,MVPO,32,32,0:09:22,4
AHRM,MYPI,43,43,0:31:17,12
AHRM,NAGR,32,32,0:17:01,5
AHRM,NAVR,43,43,0:28:17,11
AHRM,NBAA,64,64,1:20:58,25
AHRM,NCAJ,54,54,0:52:18,21
AHRM,NCBC,54,54,0:59:58,24
AHRM,NCC,43,43,0:30:30,11
AHRM,NDI,43,43,0:33:12,10
AHRM,NECC,54,54,0:43:34,17
AHRM,NFGH,64,64,1:16:27,25
AHRM,NHPC,43,43,0:41:29,16
AHRM,NIZM,21,21,0:02:51,2
AHRM,NNGI,64,64,1:12:23,24
AHRM,NNOI,54,54,0:58:39,23
AHRM,NP,32,32,0:17:22,6
AHRM,NRSN,54,54,1:00:21,24
AHRM,NSET,32,32,0:23:32,8
AHRM,NSFT,32,32,0:19:16,6
AHRM,NSHP,54,54,0:44:55,17
AHRM,NSST,32,32,0:21:15,7
AHRM,NUEE,32,32,0:30:56,8
AHRM,NV,43,43,0:29:10,7
AHRM,NWD,54,54,1:00:29,21
AHRM,OFDB,54,54,0:50:04,20
AHRM,OKBS,43,43,0:34:12,10
AHRM,OKNS,32,32,0:31:15,8
AHRM,OVA,32,32,0:38:10,11
AHRM,PAGI,54,54,0:53:27,20
AHRM,PALM,54,54,0:59:26,16
AHRM,PBGA,54,54,0:46:21,16
AHRM,PBGH,43,43,0:53:22,15
AHRM,PBGW,54,54,0:39:01,15
AHRM,PH1,74,74,1:03:31,18
AHRM,PN,43,43,0:46:34,14
AHRM,PRA,43,43,0:55:08,16
AHRM,PSPK,32,32,0:40:20,9
AHRM,PTCK,32,32,0:28:30,8
AHRM,PTMD,43,43,0:23:14,7
AHRM,PTP,54,54,0:58:50,19
AHRM,PTVR,43,43,0:31:25,8
AHRM,PVE,54,54,0:50:01,18
AHRM,PVW,54,54,0:51:40,19
AHRM,QM,43,43,0:35:23,11
AHRM,RCK,32,32,0:30:46,9
AHRM,RDPK,64,64,1:02:22,25
AHRM,RG,43,43,0:34:10,13
AHRM,RHE,54,54,1:00:29,20
AHRM,RHW,54,54,1:02:34,21
AHRM,RI,54,54,1:04:33,22
AHRM,RISE,54,54,1:02:00,23
AHRM,RJBH,54,54,1:09:13,19
AHRM,RJNM,54,54,1:11:13,20
AHRM,RKAM,43,43,0:38:13,10
AHRM,RKPM,32,32,0:41:32,10
AHRM,RN,43,43,0:46:09,14
AHRM,RP,43,43,0:44:36,13
AHRM,S53,74,74,1:07:53,20
AHRM,S55,74,74,1:12:00,22
AHRM,SABR,43,43,0:55:28,15
AHRM,SAKP,54,54,0:42:17,16
AHRM,SAKT,32,32,0:32:38,10
AHRM,SFNN,43,43,0:39:05,15
AHRM,SFTN,43,43,0:34:40,13
AHRM,SHD,43,43,0:58:48,14
AHRM,SHDN,54,54,1:07:03,18
AHRM,SHPK,43,43,0:52:39,14
AHRM,SHT,43,43,0:57:35,17
