from_station,to_station,first_train,last_train
RCK,DLIG,"{""endstation_from_first_train_estimated_time"": ""06:07:00"", ""first_train_route_detail"": [{""start_st"": ""RCK"", ""start_time"": ""05:58:37"", ""end_st"": ""MDHS"", ""end_time"": ""06:03:20"", ""interchange_time"": """", ""start_station_name"": ""RAJIV CHOWK"", ""end_station_name"": ""MANDI HOUSE""}, {""start_st"": ""MDHS"", ""start_time"": ""06:03:21"", ""end_st"": ""DLIG"", ""end_time"": ""06:07:00"", ""interchange_time"": """", ""start_station_name"": ""MANDI HOUSE"", ""end_station_name"": ""DELHI GATE""}]}","{""endstation_from_last_train_estimated_time"": ""00:09:32"", ""last_train_route_detail"": [{""start_st"": ""RCK"", ""start_time"": ""23:53:40"", ""end_st"": ""MDHS"", ""end_time"": ""23:57:37"", ""interchange_time"": 0, ""start_station_name"": ""RAJIV CHOWK"", ""end_station_name"": ""MANDI HOUSE""}, {""start_st"": ""MDHS"", ""start_time"": ""00:05:53"", ""end_st"": ""DLIG"", ""end_time"": ""00:09:32"", ""interchange_time"": 5, ""start_station_name"": ""MANDI HOUSE"", ""end_station_name"": ""DELHI GATE""}]}"
KG,CWBR,"{""endstation_from_first_train_estimated_time"": ""05:42:56"", ""first_train_route_detail"": [{""start_st"": ""KG"", ""start_time"": ""05:37:38"", ""end_st"": ""CWBR"", ""end_time"": ""05:42:56"", ""interchange_time"": """", ""start_station_name"": ""KASHMERE GATE"", ""end_station_name"": ""CHAWRI BAZAR""}]}","{""endstation_from_last_train_estimated_time"": ""23:28:45"", ""last_train_route_detail"": [{""start_st"": ""KG"", ""start_time"": ""23:24:17"", ""end_st"": ""CWBR"", ""end_time"": ""23:28:45"", ""interchange_time"": 0, ""start_station_name"": ""KASHMERE GATE"", ""end_station_name"": ""CHAWRI BAZAR""}]}"
